IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
47.242.59.216,4,4,0.00,54.07,13.61
47.243.203.119,4,4,0.00,55.81,13.38
47.242.232.14,4,4,0.00,56.47,13.08
8.222.204.128,4,4,0.00,88.15,11.96
152.70.234.188,4,4,0.00,83.72,6.66
