IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
47.242.17.250,4,4,0.00,62.09,0.00
8.218.48.92,4,4,0.00,62.66,0.00
47.242.59.216,4,4,0.00,62.86,0.00
47.243.183.127,4,4,0.00,64.12,0.00
47.243.179.249,4,4,0.00,65.87,0.00
