IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
152.70.253.44,4,4,0.00,219.49,0.00
132.145.81.117,4,4,0.00,231.36,0.00
47.243.60.38,4,4,0.00,233.60,0.00
8.210.171.28,4,4,0.00,234.71,0.00
47.243.171.8,4,4,0.00,235.08,0.00
8.210.221.214,4,4,0.00,235.60,0.00
132.226.17.67,4,4,0.00,242.36,0.00
8.218.90.211,4,4,0.00,246.21,0.00
140.238.5.32,4,4,0.00,247.66,0.00
