IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.31.11.132,4,4,0.00,40.01,0.00
172.64.131.2,4,4,0.00,40.99,0.00
104.24.134.192,4,4,0.00,42.10,0.00
104.24.115.83,4,4,0.00,42.23,0.00
172.65.128.90,4,4,0.00,42.43,0.00
