IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.210.107.246,8443,true,HKG,Asia Pacific,Hong Kong,128 ms,12105 kB/s
8.210.85.222,8443,true,HKG,Asia Pacific,Hong Kong,72 ms,11877 kB/s
47.242.174.27,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,11715 kB/s
8.218.3.12,8443,true,HKG,Asia Pacific,Hong Kong,87 ms,11418 kB/s
8.210.89.245,8443,true,HKG,Asia Pacific,Hong Kong,58 ms,11385 kB/s
47.76.178.146,8443,true,HKG,Asia Pacific,Hong Kong,83 ms,11098 kB/s
8.219.170.232,8443,true,SIN,Asia Pacific,Singapore,134 ms,10193 kB/s
8.219.147.58,8443,true,SIN,Asia Pacific,Singapore,132 ms,10045 kB/s
8.219.229.190,8443,true,SIN,Asia Pacific,Singapore,148 ms,10019 kB/s
8.219.237.250,8443,true,SIN,Asia Pacific,Singapore,164 ms,9855 kB/s
8.219.191.110,8443,true,SIN,Asia Pacific,Singapore,169 ms,9200 kB/s
8.219.201.245,8443,true,SIN,Asia Pacific,Singapore,170 ms,6010 kB/s
8.219.6.150,8443,true,SIN,Asia Pacific,Singapore,321 ms,5807 kB/s
8.222.183.242,8443,true,SIN,Asia Pacific,Singapore,339 ms,5681 kB/s
8.219.117.198,8443,true,SIN,Asia Pacific,Singapore,390 ms,5655 kB/s
8.219.11.158,8443,true,SIN,Asia Pacific,Singapore,295 ms,5613 kB/s
47.245.86.230,8443,true,SIN,Asia Pacific,Singapore,314 ms,5425 kB/s
47.242.183.7,8443,true,HKG,Asia Pacific,Hong Kong,72 ms,5396 kB/s
8.219.111.147,8443,true,SIN,Asia Pacific,Singapore,319 ms,5377 kB/s
47.245.105.224,8443,true,SIN,Asia Pacific,Singapore,351 ms,5274 kB/s
8.219.199.220,8443,true,SIN,Asia Pacific,Singapore,142 ms,5129 kB/s
8.217.66.3,8443,true,HKG,Asia Pacific,Hong Kong,74 ms,4043 kB/s
47.242.36.78,8443,true,HKG,Asia Pacific,Hong Kong,68 ms,2869 kB/s
47.243.86.79,8443,true,HKG,Asia Pacific,Hong Kong,77 ms,1998 kB/s
8.210.39.96,8443,true,HKG,Asia Pacific,Hong Kong,88 ms,416 kB/s
47.243.169.90,8443,true,HKG,Asia Pacific,Hong Kong,84 ms,17 kB/s
8.210.126.88,8443,true,HKG,Asia Pacific,Hong Kong,101 ms,17 kB/s
47.243.120.239,8443,true,HKG,Asia Pacific,Hong Kong,60 ms,16 kB/s
8.210.100.23,8443,true,HKG,Asia Pacific,Hong Kong,62 ms,0 kB/s
